id,display name,resource type,opacity,emission,roughness,hardness,texture,top,side,bottom,only on top,single items
steel,Steel,metals,1,0,0.35,8,steel,,,,,
bronze,Bronze,metals,1,0,0.35,7,bronze,,,,,
mithril,Mithril,arcane,1,0,0.35,10,mithril,,,,,
diamond,Diamond,gems,1,0,0.35,12,diamond,,,,,
emerald,Emerald,gems,1,0,0.35,10,emerald,,,,,
ruby,Ruby,gems,1,0,0.35,10,ruby,,,,,
sapphire,Sapphire,gems,1,0,0.35,10,sapphire,,,,,
glass,Glass,construction,1,0,0.35,2,glass,,,,,
charcoal,Charcoal,plants,1,0,0.9,2,charcoal,,,,,
ash,Ash,minerals,1,0,0.9,1,ash,,,,,
lime,Lime,construction,1,0,0.9,2,lime,,,,,
mortar,Mortar,construction,1,0,0.9,3,mortar,,,,,
ceramic,Ceramic,construction,1,0,0.9,4,ceramic,,,,,
planks,Planks,construction,1,0,0.9,3,planks,,,,,
wood_pulp,Wood Pulp,plants,1,0,0.9,1,wood_pulp,,,,,
plant_fiber,Plant Fiber,plants,1,0,0.9,1,plant_fiber,,,,,
cloth,Cloth,construction,1,0,0.9,1,cloth,,,,,
resin,Resin,plants,1,0,0.35,2,resin,,,,,
crystal_dust,Crystal Dust,arcane,1,0,0.9,2,crystal_dust,,,,,
enchanted_glass,Enchanted Glass,arcane,1,0.12,0.35,4,enchanted_glass,,,,,
moon_silver,Moon Silver,arcane,1,0,0.35,8,moon_silver,,,,,
runestone,Runestone,arcane,1,0.12,0.9,8,runestone,,,,,
fern,Fern,plants,1,0,0.9,1,fern,,,,1,1
clover,Clover,plants,1,0,0.9,1,clover,,,,1,1
lavender,Lavender,plants,1,0,0.9,1,lavender,,,,1,1
red_poppy,Red Poppy,plants,1,0,0.9,1,red_poppy,,,,1,1
bluebell,Bluebell,plants,1,0,0.9,1,bluebell,,,,1,1
cattail,Cattail,plants,1,0,0.9,1,cattail,,,,1,1
brown_mushroom,Brown Mushroom,plants,1,0,0.9,1,brown_mushroom,,,,1,1
glowcap,Glowcap,plants,1,0.35,0.9,1,glowcap,,,,1,1
thorn_bush,Thorn Bush,plants,1,0,0.9,2,thorn_bush,,,,1,1
dry_shrub,Dry Shrub,plants,1,0,0.9,1,dry_shrub,,,,1,1
snow,Snow,water and ice,1,0,0.9,1,snow,,,,,
meat,Raw meat,food,1,0,0.9,1,meat,,,,,
cooked_meat,Cooked meat,food,1,0,0.9,1,cooked_meat,,,,,
